Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Hit
0.535,0.97,9.0,-3.3960000000000004,1.0,0.0986,0.226,8.62e-06,0.578,0.669,91.89,0.0
0.528,0.778,10.0,-5.869,1.0,0.0301,0.10800000000000001,1.44e-06,0.08199999999999999,0.527,153.861,0.0
0.914,0.731,0.0,-5.572,1.0,0.162,0.00927,9e-06,0.0836,0.593,105.015,0.0
0.534,0.733,7.0,-8.555,1.0,0.0409,0.0621,0.0045,0.41600000000000004,0.677,100.079,0.0
0.292,0.847,9.0,-5.483,1.0,0.125,0.00199,0.0023899999999999998,0.0802,0.514,85.656,0.0
0.698,0.47700000000000004,8.0,-12.994000000000002,1.0,0.0643,0.207,0.773,0.312,0.5429999999999999,112.287,0.0
0.561,0.589,9.0,-8.214,1.0,0.0272,0.0598,0.0,0.0879,0.691,75.014,0.0
0.86,0.68,9.0,-5.19,1.0,0.0438,0.6829999999999999,0.0,0.14800000000000002,0.956,128.061,0.0
0.428,0.263,7.0,-9.74,1.0,0.0311,0.613,0.0,0.153,0.368,100.06,0.0
0.698,0.774,0.0,-8.642000000000001,1.0,0.048,0.12,2.26e-06,0.39399999999999996,0.731,133.197,0.0
0.586,0.835,0.0,-5.091,1.0,0.0307,0.0132,3.47e-05,0.19699999999999998,0.63,116.12799999999999,0.0
0.537,0.47700000000000004,7.0,-14.902999999999999,0.0,0.0325,0.20800000000000002,0.0888,0.0805,0.767,88.743,0.0
0.442,0.6679999999999999,6.0,-7.582000000000001,1.0,0.0627,0.19699999999999998,0.000508,0.361,0.648,93.363,0.0
0.638,0.872,0.0,-5.343,1.0,0.055,0.0219,0.816,0.0953,0.9009999999999999,136.024,0.0
0.7559999999999999,0.746,7.0,-4.888,1.0,0.0326,0.0355,0.40700000000000003,0.0894,0.965,106.958,0.0
0.58,0.344,3.0,-8.02,1.0,0.0248,0.858,0.0,0.225,0.501,81.93299999999999,0.0
0.585,0.965,10.0,-4.185,1.0,0.6579999999999999,0.777,0.0,0.9740000000000001,0.526,49.224,0.0
0.565,0.603,0.0,-7.207000000000001,1.0,0.0254,0.302,1.57e-06,0.192,0.597,108.522,0.0
0.264,0.19399999999999998,11.0,-17.472,1.0,0.0366,0.8540000000000001,0.000181,0.109,0.12,124.435,0.0
0.499,0.5660000000000001,4.0,-15.365,0.0,0.0327,2.34e-05,0.233,0.106,0.588,137.97799999999998,0.0
0.604,0.653,5.0,-7.337999999999999,1.0,0.0353,0.7190000000000001,9.059999999999999e-05,0.0891,0.8240000000000001,90.01799999999999,0.0
