High Danceability,Low Energy,C#,Loud,MajorModality,Music & Speech,High Acousticness,High Instrumentalness,No Audience,Cheerful,Medium Tempo
High Danceability,Low Energy,A#,Loud,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
High Danceability,Low Energy,D#,Loud,MajorModality,More Vocal,Low Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,G,Soft,MajorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,High Energy,G,Soft,MinorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,F,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,A#,Loud,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Low Danceability,Low Energy,G,Loud,MajorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
High Danceability,Low Energy,G,Loud,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Low Danceability,Low Energy,A,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
High Danceability,Low Energy,F,Loud,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,C,Loud,MinorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,High Energy,C,Soft,MajorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Low Tempo
Low Danceability,High Energy,B,Loud,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,E,Loud,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Low Tempo
Medium Danceability,Low Energy,B,Loud,MajorModality,More Vocal,High Acousticness,High Instrumentalness,No Audience,Sad,High Tempo
Low Danceability,Low Energy,D#,Loud,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,B,Loud,MajorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,Low Energy,F#,Loud,MajorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
Medium Danceability,High Energy,A#,Loud,MajorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,C#,Loud,MinorModality,Music & Speech,Low Acousticness,Low Instrumentalness,No Audience,Cheerful,Low Tempo
Medium Danceability,Low Energy,C,Loud,MajorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Low Danceability,Low Energy,C,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
High Danceability,Low Energy,C,Soft,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
High Danceability,Low Energy,G,Loud,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,E,Loud,MajorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
Medium Danceability,Low Energy,G,Loud,MajorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
Medium Danceability,Low Energy,F,Loud,MajorModality,Less Vocal,Medium Acousticness,High Instrumentalness,No Audience,Cheerful,Low Tempo
Medium Danceability,High Energy,D,Soft,MinorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,G#,Loud,MinorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,High Energy,A,Loud,MajorModality,More Vocal,Low Acousticness,High Instrumentalness,No Audience,Cheerful,High Tempo
High Danceability,Low Energy,G,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Low Danceability,Low Energy,A#,Loud,MajorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
